epoch,lr,train_iou_score,val_iou_score,train_seconds,val_seconds,train_peak_vram_mib,val_diag_boundary_iou_mean,val_diag_dice_mean,val_diag_precision_mean,val_diag_recall_mean
1,0.0001,0.9094882036291732,0.9029316719770432,272.1528985570185,26.80508792103501,1606.68017578125,0.6030584251133356,0.9472941568472676,0.9151265635468162,0.9853390920857228
2,0.0001,0.933530744184484,0.9206173481941224,277.4314780829591,28.99316419998649,1607.43359375,0.6323217671674136,0.957772294013814,0.9376159488760198,0.9806807033856474
3,0.0001,0.9368184256567376,0.9173681679964064,409.9834400669788,24.405633119982667,1606.93359375,0.6227089538899195,0.9559755950831614,0.9306335344873238,0.9847017340051972
4,0.0001,0.93888291234454,0.9262130326032638,441.2460883029853,25.991810626990627,1607.43359375,0.6652203646617859,0.960709868530974,0.94621606537476,0.9777562185757332
5,0.0001,0.94078454816211,0.9273507639169692,448.8588906869991,25.731107585015707,1606.93359375,0.6697896745421056,0.9612854349595265,0.943710544682477,0.98159127309607
6,0.0001,0.941730675336336,0.9291888424754142,439.6004172940157,23.80620608199388,1607.43359375,0.6636836583934843,0.9623440846416492,0.9455635040576844,0.9813482867747636
7,0.0001,0.9430136439370642,0.923548084795475,451.3999918380287,24.182604323956184,1606.93359375,0.6551425470149078,0.9591195529836768,0.9377183934798772,0.9838002609748512
8,0.0001,0.9441360079425468,0.9287112435698508,457.0350884969812,25.450394593994133,1607.43359375,0.6597374750140329,0.9620737552664612,0.94138193811097,0.9857042434540912
9,0.0001,0.944507080313112,0.9281813977956772,440.548541333992,22.11989018804161,1606.93359375,0.6585204671200404,0.9620339425294046,0.9382418835908036,0.9884416472895916
10,0.0001,0.9451442763046348,0.9305276185274124,389.3036537350272,22.144596891012043,1607.43359375,0.6649613172173183,0.9633348257111416,0.9441461726592402,0.9845628221527308
11,0.0001,0.9458043967847104,0.929811552286148,268.15398317197105,16.648910435964353,1606.93359375,0.6649236135314603,0.9629149115881066,0.9413592850328784,0.9867370091534284
12,0.0001,0.9465342448851674,0.9287575172185898,269.7483218549751,9.468316775979474,1607.43359375,0.6635463672013334,0.9622536281026852,0.939034644686912,0.98793398031351
13,0.0001,0.9464631257691326,0.9290592225492,250.2823694269755,10.220247948949693,1606.93359375,0.6680796088531936,0.9619617719200242,0.945320537897448,0.9821367789673188
14,0.0001,0.946994164755925,0.9274931923747064,248.36662424099632,9.97490150097292,1607.43359375,0.646339895370784,0.961663294054237,0.9387353196655496,0.9868783521217116
15,0.0001,0.9478307206464625,0.932401717185974,248.41867978102528,9.345050305011682,1606.93359375,0.6734007971923535,0.9643319274696528,0.945079879909736,0.9857010641675716
16,0.0001,0.9482679445989254,0.9268481779098512,249.4937338970485,9.449591940036044,1607.43359375,0.6501574466021215,0.961267335644778,0.9382467371426708,0.9865028023662484
17,0.0001,0.9483011483665712,0.9339193499088289,247.65312932198867,10.388160737988072,1606.93359375,0.6817862689441962,0.9651548969022434,0.9463352954942286,0.9860733316353192
18,0.0001,0.9482256290757526,0.9285431855916976,246.14944409497548,9.40503677900415,1607.43359375,0.6517046799224987,0.96231513223934,0.9408833715408372,0.9857848131773164
19,0.0001,0.949139251610158,0.9299669970273972,247.5551904219901,9.44325479597319,1606.93359375,0.6594566796959842,0.9630646499544242,0.9427620982962645,0.9853187790274788
20,0.0001,0.9491855910816752,0.9322329326868056,248.31493310100632,10.238215689954814,1607.43359375,0.6702656239114757,0.964254539717609,0.9434269849098024,0.98707710050544
21,1e-05,0.950960695949449,0.9332313014268876,247.63992488995427,9.800181213999169,1606.93359375,0.670961385875081,0.9649313669621084,0.9435652435591336,0.9881808895580316
22,1e-05,0.9516375265590884,0.9339317435026168,249.14399171597324,9.458577779994812,1607.43359375,0.6742229337434198,0.9652779088907316,0.9447101971109724,0.9876591056447256
23,1e-05,0.9517200159903018,0.9333711429834366,248.02912918804213,9.463888867001517,1606.93359375,0.6705785804961061,0.965004636238896,0.9445038450557336,0.98729283756815
24,1e-05,0.951953753597378,0.9365229641199112,249.06424143299228,9.502074579009786,1607.43359375,0.6822874439677954,0.9667492371299602,0.9486558981623978,0.986323683792024
25,1e-05,0.9523318533452682,0.9344961904287338,246.79976286098827,9.310075020999648,1606.93359375,0.6730682611631622,0.96562936205789,0.9452745894438253,0.9877663120994074
26,1e-05,0.952320811833605,0.9340575329065324,249.73919125803516,9.348488850984722,1607.43359375,0.6703799712218986,0.9653940782753858,0.9442748167155338,0.9883539902929038
27,1e-05,0.9525921522507258,0.9344793194532396,247.5712030759896,10.290144958009478,1606.93359375,0.6773082573185806,0.9655917618715572,0.9457731437685724,0.9872044594843472
28,1e-05,0.95272521428425,0.9356583908796312,247.28982145199552,9.862576840037946,1607.43359375,0.6790749269664528,0.966272164126828,0.9475813998765084,0.9865643069027364
29,1e-05,0.952959401242405,0.934721568107605,247.94287300901487,9.42655327299144,1606.93359375,0.6756059471404109,0.9657475880005472,0.9462939849384974,0.9869394134198364
30,1e-05,0.953061265305808,0.9350321006774902,249.0853360230103,9.381705150008202,1607.43359375,0.6795833333931048,0.965874984296349,0.9464905495353272,0.9870524740359704
